Client Employee ID,First Name,Last Name,Email Address,CPD Group ID,Term Date,Supervisor Email
"7f2a799a","Joshua","Lewis","joshua.lewis-0@dasd","123","",""
"a3fb4c98","Louis","Payne","louis.payne-1@dasd","123","",""
"fe199bb7","David","Lawson","david.lawson-2@dasd","123","",""
"491ea9a0","Thomas","Russell","thomas.russell-3@dasd","123","",""
"12af7003","Amy","Lee","amy.lee-4@dasd","123","",""
"2ae7ef8d","Andrew","Hunt","andrew.hunt-5@dasd","123","","joshua.lewis-0@dasd"
"d8d8d3fb","Bruce","Fowler","bruce.fowler-6@dasd","123","","louis.payne-1@dasd"
"8f865356","Patricia","West","patricia.west-7@dasd","123","","amy.lee-4@dasd"
"48ea3ca9","Martin","Medina","martin.medina-8@dasd","123","",""
"d5150e40","Brian","Wallace","brian.wallace-9@dasd","123","","martin.medina-8@dasd"
